op_id	desc	proc	level
0	Operation <0>		
1	toplevel <1>	CPU Processor 0x1d00000000000004	2
3	Mapping Operation <3>		
4	Mapping Operation <4>		
5	Mapping Operation <5>		
6	Mapping Operation <6>		
7	Mapping Operation <7>		
8	Mapping Operation <8>		
9	Mapping Operation <9>		
10	initialize_matrix <10>	CPU Processor 0x1d0000000000000d	2
11	initialize_vectors <11>	CPU Processor 0x1d0000000000000e	2
12	CG_iter <12>	CPU Processor 0x1d00000000000010	2
13	__binary_double_double_< <13>	CPU Processor 0x1d0000000000000d	2
14	inner_product <14>	CPU Processor 0x1d0000000000000e	2
15	inner_product <15>	CPU Processor 0x1d0000000000000d	2
16	__binary_double_double_/ <16>	CPU Processor 0x1d00000000000004	3
17	Mapping Operation <17>		
18	Mapping Operation <18>		
19	Mapping Operation <19>		
20	Mapping Operation <20>		
21	Mapping Operation <21>		
22	Mapping Operation <22>		
23	__binary_double_double_* <23>	CPU Processor 0x1d0000000000000e	2
24	__binary_double_double_+ <24>	CPU Processor 0x1d00000000000004	3
25	__binary_double_double_* <25>	CPU Processor 0x1d0000000000000e	2
26	__binary_double_double_+ <26>	CPU Processor 0x1d00000000000004	3
27	__binary_double_double_* <27>	CPU Processor 0x1d0000000000000e	2
28	__binary_double_double_+ <28>	CPU Processor 0x1d00000000000004	3
29	__binary_double_double_* <29>	CPU Processor 0x1d0000000000000e	2
30	__binary_double_double_+ <30>	CPU Processor 0x1d00000000000004	3
31	__binary_double_double_* <31>	CPU Processor 0x1d0000000000000e	2
32	__binary_double_double_+ <32>	CPU Processor 0x1d00000000000003	2
33	__binary_double_double_* <33>	CPU Processor 0x1d0000000000000e	2
34	__binary_double_double_+ <34>	CPU Processor 0x1d00000000000004	3
35	__binary_double_double_* <35>	CPU Processor 0x1d0000000000000e	2
36	__binary_double_double_+ <36>	CPU Processor 0x1d00000000000004	3
37	__binary_double_double_* <37>	CPU Processor 0x1d0000000000000e	2
38	__binary_double_double_+ <38>	CPU Processor 0x1d0000000000000d	2
39	__binary_double_double_* <39>	CPU Processor 0x1d0000000000000e	2
40	__binary_double_double_+ <40>	CPU Processor 0x1d00000000000004	3
41	__binary_double_double_* <41>	CPU Processor 0x1d0000000000000e	2
42	__binary_double_double_+ <42>	CPU Processor 0x1d00000000000004	3
43	__binary_double_double_* <43>	CPU Processor 0x1d0000000000000e	2
44	__binary_double_double_+ <44>	CPU Processor 0x1d00000000000004	3
45	__binary_double_double_* <45>	CPU Processor 0x1d0000000000000e	2
46	__binary_double_double_+ <46>	CPU Processor 0x1d00000000000004	3
47	__binary_double_double_* <47>	CPU Processor 0x1d0000000000000e	2
48	__binary_double_double_+ <48>	CPU Processor 0x1d00000000000004	3
49	__binary_double_double_* <49>	CPU Processor 0x1d0000000000000e	2
50	__binary_double_double_+ <50>	CPU Processor 0x1d00000000000007	2
51	__binary_double_double_* <51>	CPU Processor 0x1d0000000000000e	2
52	__binary_double_double_+ <52>	CPU Processor 0x1d00000000000004	3
53	__binary_double_double_* <53>	CPU Processor 0x1d0000000000000e	2
54	__binary_double_double_+ <54>	CPU Processor 0x1d0000000000000e	2
55	__binary_double_double_* <55>	CPU Processor 0x1d0000000000000e	2
56	__binary_double_double_+ <56>	CPU Processor 0x1d0000000000000d	2
57	__binary_double_double_* <57>	CPU Processor 0x1d00000000000004	3
58	__binary_double_double_+ <58>	CPU Processor 0x1d00000000000004	3
59	__binary_double_double_* <59>	CPU Processor 0x1d0000000000000e	2
60	__binary_double_double_+ <60>	CPU Processor 0x1d00000000000004	3
61	__binary_double_double_* <61>	CPU Processor 0x1d0000000000000e	2
62	__binary_double_double_+ <62>	CPU Processor 0x1d00000000000004	3
63	__binary_double_double_* <63>	CPU Processor 0x1d0000000000000e	2
64	__binary_double_double_+ <64>	CPU Processor 0x1d0000000000000d	2
65	__binary_double_double_* <65>	CPU Processor 0x1d0000000000000e	2
66	__binary_double_double_+ <66>	CPU Processor 0x1d00000000000004	3
67	__binary_double_double_* <67>	CPU Processor 0x1d0000000000000e	2
68	__binary_double_double_+ <68>	CPU Processor 0x1d00000000000004	3
69	__binary_double_double_* <69>	CPU Processor 0x1d0000000000000e	2
70	__binary_double_double_+ <70>	CPU Processor 0x1d00000000000004	3
71	__binary_double_double_* <71>	CPU Processor 0x1d0000000000000e	2
72	__binary_double_double_+ <72>	CPU Processor 0x1d00000000000004	3
73	__binary_double_double_* <73>	CPU Processor 0x1d0000000000000e	2
74	__binary_double_double_+ <74>	CPU Processor 0x1d00000000000003	2
75	__binary_double_double_* <75>	CPU Processor 0x1d0000000000000e	2
76	__binary_double_double_+ <76>	CPU Processor 0x1d00000000000004	3
77	__binary_double_double_* <77>	CPU Processor 0x1d0000000000000e	2
78	__binary_double_double_+ <78>	CPU Processor 0x1d00000000000004	3
79	__binary_double_double_* <79>	CPU Processor 0x1d0000000000000e	2
80	__binary_double_double_+ <80>	CPU Processor 0x1d00000000000004	3
81	__binary_double_double_* <81>	CPU Processor 0x1d0000000000000e	2
82	__binary_double_double_+ <82>	CPU Processor 0x1d00000000000004	3
83	__binary_double_double_* <83>	CPU Processor 0x1d0000000000000e	2
84	__binary_double_double_+ <84>	CPU Processor 0x1d00000000000004	3
85	__binary_double_double_* <85>	CPU Processor 0x1d0000000000000e	2
86	__binary_double_double_+ <86>	CPU Processor 0x1d00000000000004	3
87	__binary_double_double_* <87>	CPU Processor 0x1d00000000000004	3
88	__binary_double_double_+ <88>	CPU Processor 0x1d00000000000004	3
89	__binary_double_double_* <89>	CPU Processor 0x1d0000000000000e	2
90	__binary_double_double_+ <90>	CPU Processor 0x1d00000000000004	3
91	__binary_double_double_* <91>	CPU Processor 0x1d00000000000004	3
92	__binary_double_double_+ <92>	CPU Processor 0x1d00000000000004	3
93	__binary_double_double_* <93>	CPU Processor 0x1d0000000000000e	2
94	__binary_double_double_+ <94>	CPU Processor 0x1d00000000000004	3
95	__binary_double_double_* <95>	CPU Processor 0x1d0000000000000e	2
96	__binary_double_double_+ <96>	CPU Processor 0x1d00000000000004	3
97	__binary_double_double_* <97>	CPU Processor 0x1d0000000000000e	2
98	__binary_double_double_+ <98>	CPU Processor 0x1d00000000000004	3
99	__binary_double_double_* <99>	CPU Processor 0x1d0000000000000e	2
100	__binary_double_double_+ <100>	CPU Processor 0x1d00000000000004	3
101	__binary_double_double_* <101>	CPU Processor 0x1d0000000000000d	2
102	__binary_double_double_+ <102>	CPU Processor 0x1d00000000000004	3
103	__binary_double_double_* <103>	CPU Processor 0x1d0000000000000e	2
104	__binary_double_double_+ <104>	CPU Processor 0x1d00000000000004	3
105	__binary_double_double_* <105>	CPU Processor 0x1d0000000000000e	2
106	__binary_double_double_+ <106>	CPU Processor 0x1d0000000000000e	2
107	__binary_double_double_* <107>	CPU Processor 0x1d0000000000000e	2
108	__binary_double_double_+ <108>	CPU Processor 0x1d0000000000000d	2
109	__binary_double_double_* <109>	CPU Processor 0x1d0000000000000e	2
110	__binary_double_double_+ <110>	CPU Processor 0x1d00000000000003	2
111	__binary_double_double_* <111>	CPU Processor 0x1d0000000000000c	2
112	__binary_double_double_+ <112>	CPU Processor 0x1d00000000000004	3
113	__binary_double_double_* <113>	CPU Processor 0x1d0000000000000e	2
114	__binary_double_double_+ <114>	CPU Processor 0x1d00000000000004	3
115	__binary_double_double_* <115>	CPU Processor 0x1d0000000000000e	2
116	__binary_double_double_+ <116>	CPU Processor 0x1d00000000000004	3
117	__binary_double_double_* <117>	CPU Processor 0x1d0000000000000e	2
118	__binary_double_double_+ <118>	CPU Processor 0x1d00000000000004	3
119	__binary_double_double_* <119>	CPU Processor 0x1d0000000000000c	2
120	__binary_double_double_+ <120>	CPU Processor 0x1d00000000000004	3
121	__binary_double_double_* <121>	CPU Processor 0x1d0000000000000c	2
122	__binary_double_double_+ <122>	CPU Processor 0x1d00000000000004	3
123	__binary_double_double_* <123>	CPU Processor 0x1d0000000000000e	2
124	__binary_double_double_+ <124>	CPU Processor 0x1d00000000000003	2
125	__binary_double_double_* <125>	CPU Processor 0x1d0000000000000e	2
126	__binary_double_double_+ <126>	CPU Processor 0x1d00000000000004	3
127	__binary_double_double_* <127>	CPU Processor 0x1d0000000000000e	2
128	__binary_double_double_+ <128>	CPU Processor 0x1d00000000000004	3
129	__binary_double_double_* <129>	CPU Processor 0x1d0000000000000e	2
130	__binary_double_double_+ <130>	CPU Processor 0x1d00000000000004	3
131	__binary_double_double_* <131>	CPU Processor 0x1d0000000000000e	2
132	__binary_double_double_+ <132>	CPU Processor 0x1d00000000000004	3
133	__binary_double_double_* <133>	CPU Processor 0x1d0000000000000e	2
134	__binary_double_double_+ <134>	CPU Processor 0x1d00000000000004	3
135	__binary_double_double_* <135>	CPU Processor 0x1d0000000000000e	2
136	__binary_double_double_+ <136>	CPU Processor 0x1d00000000000004	3
137	__binary_double_double_* <137>	CPU Processor 0x1d0000000000000e	2
138	__binary_double_double_+ <138>	CPU Processor 0x1d00000000000004	3
139	__binary_double_double_* <139>	CPU Processor 0x1d0000000000000e	2
140	__binary_double_double_+ <140>	CPU Processor 0x1d0000000000000c	2
141	__binary_double_double_* <141>	CPU Processor 0x1d0000000000000e	2
142	__binary_double_double_+ <142>	CPU Processor 0x1d00000000000004	3
143	__binary_double_double_* <143>	CPU Processor 0x1d0000000000000e	2
144	__binary_double_double_+ <144>	CPU Processor 0x1d00000000000004	3
145	__binary_double_double_* <145>	CPU Processor 0x1d0000000000000e	2
146	__binary_double_double_+ <146>	CPU Processor 0x1d00000000000004	3
147	__binary_double_double_* <147>	CPU Processor 0x1d0000000000000c	2
148	__binary_double_double_+ <148>	CPU Processor 0x1d00000000000004	3
149	__binary_double_double_* <149>	CPU Processor 0x1d0000000000000e	2
150	__binary_double_double_+ <150>	CPU Processor 0x1d00000000000004	3
151	__binary_double_double_* <151>	CPU Processor 0x1d0000000000000e	2
152	__binary_double_double_+ <152>	CPU Processor 0x1d00000000000004	3
153	__binary_double_double_* <153>	CPU Processor 0x1d0000000000000e	2
154	__binary_double_double_+ <154>	CPU Processor 0x1d00000000000004	3
155	__binary_double_double_* <155>	CPU Processor 0x1d0000000000000e	2
156	__binary_double_double_+ <156>	CPU Processor 0x1d00000000000004	3
157	__binary_double_double_* <157>	CPU Processor 0x1d00000000000004	3
158	__binary_double_double_+ <158>	CPU Processor 0x1d00000000000004	3
159	__binary_double_double_* <159>	CPU Processor 0x1d0000000000000e	2
160	__binary_double_double_+ <160>	CPU Processor 0x1d00000000000004	3
161	__binary_double_double_* <161>	CPU Processor 0x1d0000000000000e	2
162	__binary_double_double_+ <162>	CPU Processor 0x1d00000000000004	3
163	__binary_double_double_* <163>	CPU Processor 0x1d0000000000000e	2
164	__binary_double_double_+ <164>	CPU Processor 0x1d00000000000004	3
165	__binary_double_double_* <165>	CPU Processor 0x1d0000000000000e	2
166	__binary_double_double_+ <166>	CPU Processor 0x1d00000000000004	3
167	__binary_double_double_* <167>	CPU Processor 0x1d0000000000000e	2
168	__binary_double_double_+ <168>	CPU Processor 0x1d00000000000004	3
169	__binary_double_double_* <169>	CPU Processor 0x1d0000000000000e	2
170	__binary_double_double_+ <170>	CPU Processor 0x1d0000000000000d	2
171	__binary_double_double_* <171>	CPU Processor 0x1d0000000000000e	2
172	__binary_double_double_+ <172>	CPU Processor 0x1d00000000000004	3
173	__binary_double_double_* <173>	CPU Processor 0x1d0000000000000e	2
174	__binary_double_double_+ <174>	CPU Processor 0x1d00000000000004	3
175	__binary_double_double_* <175>	CPU Processor 0x1d00000000000004	3
176	__binary_double_double_+ <176>	CPU Processor 0x1d00000000000004	3
177	__binary_double_double_* <177>	CPU Processor 0x1d0000000000000e	2
178	__binary_double_double_+ <178>	CPU Processor 0x1d00000000000004	3
179	__binary_double_double_* <179>	CPU Processor 0x1d00000000000004	3
180	__binary_double_double_+ <180>	CPU Processor 0x1d00000000000004	3
181	__binary_double_double_* <181>	CPU Processor 0x1d0000000000000e	2
182	__binary_double_double_+ <182>	CPU Processor 0x1d00000000000004	3
183	__binary_double_double_* <183>	CPU Processor 0x1d0000000000000e	2
184	__binary_double_double_+ <184>	CPU Processor 0x1d00000000000004	3
185	__binary_double_double_* <185>	CPU Processor 0x1d0000000000000e	2
186	__binary_double_double_+ <186>	CPU Processor 0x1d00000000000004	3
187	__binary_double_double_* <187>	CPU Processor 0x1d0000000000000e	2
188	__binary_double_double_+ <188>	CPU Processor 0x1d00000000000004	3
189	__binary_double_double_* <189>	CPU Processor 0x1d0000000000000e	2
190	__binary_double_double_+ <190>	CPU Processor 0x1d00000000000004	3
191	__binary_double_double_* <191>	CPU Processor 0x1d0000000000000e	2
192	__binary_double_double_+ <192>	CPU Processor 0x1d00000000000003	2
193	__binary_double_double_* <193>	CPU Processor 0x1d0000000000000e	2
194	__binary_double_double_+ <194>	CPU Processor 0x1d00000000000004	3
195	__binary_double_double_* <195>	CPU Processor 0x1d0000000000000e	2
196	__binary_double_double_+ <196>	CPU Processor 0x1d00000000000004	3
197	__binary_double_double_* <197>	CPU Processor 0x1d0000000000000c	2
198	__binary_double_double_+ <198>	CPU Processor 0x1d0000000000000d	2
199	__binary_double_double_* <199>	CPU Processor 0x1d0000000000000e	2
200	__binary_double_double_+ <200>	CPU Processor 0x1d00000000000003	2
201	__binary_double_double_* <201>	CPU Processor 0x1d0000000000000c	2
202	__binary_double_double_+ <202>	CPU Processor 0x1d0000000000000d	2
203	__binary_double_double_* <203>	CPU Processor 0x1d0000000000000e	2
204	__binary_double_double_+ <204>	CPU Processor 0x1d00000000000004	3
205	__binary_double_double_* <205>	CPU Processor 0x1d0000000000000e	2
206	__binary_double_double_+ <206>	CPU Processor 0x1d00000000000004	3
207	__binary_double_double_* <207>	CPU Processor 0x1d0000000000000e	2
208	__binary_double_double_+ <208>	CPU Processor 0x1d00000000000004	3
209	__binary_double_double_* <209>	CPU Processor 0x1d00000000000004	3
210	__binary_double_double_+ <210>	CPU Processor 0x1d00000000000004	3
211	__binary_double_double_* <211>	CPU Processor 0x1d0000000000000e	2
212	__binary_double_double_+ <212>	CPU Processor 0x1d00000000000004	3
213	__binary_double_double_* <213>	CPU Processor 0x1d0000000000000e	2
214	__binary_double_double_+ <214>	CPU Processor 0x1d00000000000004	3
215	__binary_double_double_* <215>	CPU Processor 0x1d0000000000000e	2
216	__binary_double_double_+ <216>	CPU Processor 0x1d00000000000004	3
217	__binary_double_double_* <217>	CPU Processor 0x1d0000000000000e	2
218	__binary_double_double_+ <218>	CPU Processor 0x1d00000000000004	3
219	__binary_double_double_* <219>	CPU Processor 0x1d0000000000000e	2
220	__binary_double_double_+ <220>	CPU Processor 0x1d00000000000004	3
221	__binary_double_double_* <221>	CPU Processor 0x1d0000000000000e	2
222	__binary_double_double_+ <222>	CPU Processor 0x1d00000000000004	3
223	inner_product <223>	CPU Processor 0x1d0000000000000d	2
224	inner_product <224>	CPU Processor 0x1d00000000000003	2
225	__binary_double_double_/ <225>	CPU Processor 0x1d0000000000000c	2
226	Mapping Operation <226>		
227	Mapping Operation <227>		
228	Mapping Operation <228>		
229	Mapping Operation <229>		
230	Mapping Operation <230>		
231	Mapping Operation <231>		
232	__binary_double_double_* <232>	CPU Processor 0x1d00000000000004	3
233	__binary_double_double_* <233>	CPU Processor 0x1d0000000000000e	2
234	__binary_double_double_- <234>	CPU Processor 0x1d0000000000000d	2
235	__binary_double_double_* <235>	CPU Processor 0x1d0000000000000d	2
236	__binary_double_double_* <236>	CPU Processor 0x1d0000000000000d	2
237	__binary_double_double_- <237>	CPU Processor 0x1d00000000000004	3
238	__binary_double_double_* <238>	CPU Processor 0x1d00000000000004	3
239	__binary_double_double_* <239>	CPU Processor 0x1d0000000000000e	2
240	__binary_double_double_- <240>	CPU Processor 0x1d00000000000004	3
241	__binary_double_double_* <241>	CPU Processor 0x1d00000000000004	3
242	__binary_double_double_* <242>	CPU Processor 0x1d0000000000000e	2
243	__binary_double_double_- <243>	CPU Processor 0x1d00000000000004	3
244	__binary_double_double_* <244>	CPU Processor 0x1d00000000000004	3
245	__binary_double_double_* <245>	CPU Processor 0x1d0000000000000e	2
246	__binary_double_double_- <246>	CPU Processor 0x1d00000000000004	3
247	__binary_double_double_* <247>	CPU Processor 0x1d00000000000003	2
248	__binary_double_double_* <248>	CPU Processor 0x1d0000000000000e	2
249	__binary_double_double_- <249>	CPU Processor 0x1d00000000000004	3
250	__binary_double_double_* <250>	CPU Processor 0x1d00000000000004	3
251	__binary_double_double_* <251>	CPU Processor 0x1d0000000000000e	2
252	__binary_double_double_- <252>	CPU Processor 0x1d00000000000004	3
253	__binary_double_double_* <253>	CPU Processor 0x1d00000000000004	3
254	__binary_double_double_* <254>	CPU Processor 0x1d0000000000000e	2
255	__binary_double_double_- <255>	CPU Processor 0x1d0000000000000d	2
256	__binary_double_double_* <256>	CPU Processor 0x1d0000000000000d	2
257	__binary_double_double_* <257>	CPU Processor 0x1d0000000000000e	2
258	__binary_double_double_- <258>	CPU Processor 0x1d00000000000004	3
259	__binary_double_double_* <259>	CPU Processor 0x1d00000000000004	3
260	__binary_double_double_* <260>	CPU Processor 0x1d0000000000000e	2
261	__binary_double_double_- <261>	CPU Processor 0x1d00000000000004	3
262	__binary_double_double_* <262>	CPU Processor 0x1d00000000000004	3
263	__binary_double_double_* <263>	CPU Processor 0x1d0000000000000e	2
264	__binary_double_double_- <264>	CPU Processor 0x1d00000000000004	3
265	__binary_double_double_* <265>	CPU Processor 0x1d00000000000004	3
266	__binary_double_double_* <266>	CPU Processor 0x1d0000000000000e	2
267	__binary_double_double_- <267>	CPU Processor 0x1d00000000000004	3
268	__binary_double_double_* <268>	CPU Processor 0x1d0000000000000d	2
269	__binary_double_double_* <269>	CPU Processor 0x1d0000000000000e	2
270	__binary_double_double_- <270>	CPU Processor 0x1d00000000000004	3
271	__binary_double_double_* <271>	CPU Processor 0x1d0000000000000d	2
272	__binary_double_double_* <272>	CPU Processor 0x1d0000000000000e	2
273	__binary_double_double_- <273>	CPU Processor 0x1d00000000000004	3
274	__binary_double_double_* <274>	CPU Processor 0x1d0000000000000d	2
275	__binary_double_double_* <275>	CPU Processor 0x1d0000000000000e	2
276	__binary_double_double_- <276>	CPU Processor 0x1d00000000000004	3
277	__binary_double_double_* <277>	CPU Processor 0x1d00000000000004	3
278	__binary_double_double_* <278>	CPU Processor 0x1d0000000000000e	2
279	__binary_double_double_- <279>	CPU Processor 0x1d00000000000004	3
280	__binary_double_double_* <280>	CPU Processor 0x1d00000000000004	3
281	__binary_double_double_* <281>	CPU Processor 0x1d0000000000000c	2
282	__binary_double_double_- <282>	CPU Processor 0x1d00000000000004	3
